,Name,Short Name,InChI,MH+,MV,logD,abs_mob,zeff,RRF_Measured,RRF_Predicted,InChI_Key,cid,complexity,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,rotatable_bond_count,tpsa,xlogp
0,L-Ornithine,Orn,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1",133,113,-4.22,0.000686,1.82,0.281,0.631,AHLPHDHHMVZTML-BYPYZUCNSA-N,6262,95,132.089878,4,3,9,4,89.3,-4.4
1,N-Methyl-Aspartic acid,MeAsp,"InChI=1S/C5H9NO4/c1-6-3(5(9)10)2-4(7)8/h3,6H,2H2,1H3,(H,7,8)(H,9,10)/t3-/m1/s1",148,114,-2.58,0.000348,0.71,0.842,0.667,HOKKHZGPKSLGJE-GSVOUGTGSA-N,22880,145,147.053158,5,3,10,4,86.6,-3.4
2,3-Methyl-L-Histidine ,MeHis,"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",170,144,-2.94,0.00062,1.49,1.4,2.28,JDHILDINMRGULE-LURJTMIESA-N,64969,174,169.085127,4,2,12,3,81.1,-3.3
3,L-Theanine ,Thea,"InChI=1S/C7H14N2O3/c1-2-9-6(10)4-3-5(8)7(11)12/h5H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t5-/m0/s1",175,150,-2.56,0.000304,0.73,2.32,2.19,DATAGRPVKZEWHA-YFKPBYRVSA-N,439378,170,174.100442,4,3,12,5,92.4,-3.6
4,L-Citrulline,Cit,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",176,140,-3.19,0.000314,0.83,1.16,1.6,RHGKLRLOHDJJDR-BYPYZUCNSA-N,9750,171,175.095691,4,4,12,5,118.0,-4.3
5,O-Propionyl-L-Carnitine,C3,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/t8-/m1/s1",218,214,-1.92,0.000256,1.0,5.23,5.74,UFAHZIUFPNSHSL-MRVPVSSYSA-N,188824,227,217.131408,4,0,15,6,66.4,0.9
6,L-Carnosine ,Carn,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1",227,182,-2.89,0.00055,1.92,1.91,3.03,CQOVPNPJLQNMDC-ZETCQYMHSA-N,439224,259,226.10659,5,4,16,6,121.0,-4.0
7,O-Butyryl-L-Carnitine ,C4,"InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3",232,234,-1.73,0.000246,1.0,6.66,6.03,QWYFHHGCZUCMBN-UHFFFAOYSA-N,439829,239,231.147058,4,0,16,7,66.4,1.2
8,1-Methyl-Adenosine,MeA,"InChI=1S/C11H15N5O4/c1-15-3-14-10-6(9(15)12)13-4-16(10)11-8(19)7(18)5(2-17)20-11/h3-5,7-8,11-12,17-19H,2H2,1H3/t5-,7-,8-,11-/m1/s1",286,228,-1.82,0.000248,1.0,5.24,5.11,GFYLSDSUCHVORB-IOSLPCCCSA-N,27476,433,281.112404,7,4,20,2,127.0,-1.0
9,O-Octoyl-L-Carnitine,C8,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1",288,313,-0.64,0.000214,1.0,7.78,9.75,CXTATJFJDMJMIY-CYBMUJFWSA-N,11953814,291,287.209658,4,0,20,11,66.4,3.4
